year,filter,n_accounts,total_commits,mean_commits,median_commits,p90_commits,p99_commits,top_1pct_share,top_10pct_share,gini,p99_p50_ratio,powerlaw_alpha,powerlaw_xmin,powerlaw_vs_lognormal_R,powerlaw_vs_lognormal_p
2019,multi_repo,64406,1384035,21.48922460640313,6.0,23.0,268.0,45.30434562709758,71.87715628578756,0.7497762792449503,44.666666666666664,1.9617740996547604,25.0,-1.6455633377133387,0.09985369247861728
2020,multi_repo,88765,1924456,21.680346983608406,6.0,22.0,265.3600000000006,47.784568730072294,72.21001675278625,0.7528180182221393,44.226666666666766,1.9332496704238722,34.0,-2.2208666946304936,0.02635999162991833
2021,multi_repo,102867,2525459,24.55072083369788,6.0,22.0,306.0,52.16920963674326,75.20854624842454,0.7792662653434588,51.0,2.09485891847746,5.0,12.29120691831699,1.0098691518956468e-34
2022,multi_repo,113981,2865724,25.14212017792439,6.0,22.0,321.1999999999971,53.71434932324257,76.1313720372234,0.7865300115295087,53.53333333333285,1.8493142602605572,36.0,-2.471317003761676,0.013461642876348514
2023,multi_repo,124041,3132816,25.256294289791278,6.0,21.0,338.6000000000058,54.570680180387235,76.88536447719879,0.7917052830216378,56.4333333333343,1.8212815367244377,40.0,-3.6484741278679764,0.00026380246291152925
2024,multi_repo,131530,7463885,56.74663574849844,6.0,25.0,1287.4199999999837,63.921309076975334,89.17619979407507,0.8949496973927425,214.5699999999973,1.6343262657048312,30.0,-5.6450501801295045,1.651330772950333e-08
2019,strict_developer,9940,693275,69.74597585513078,18.0,103.0,1054.270000000004,32.9616674479824,68.79146082002092,0.7281980611809039,58.570555555555785,1.9603930491487533,19.0,-1.016649601407238,0.3093201490608575
2020,strict_developer,14051,958209,68.19507508362395,18.0,90.0,934.0,35.34625535765162,70.35552786500648,0.7350218246521462,51.888888888888886,1.943079887807515,29.0,-1.378960197594815,0.16790702617701825
2021,strict_developer,16072,1320538,82.163887506222,18.0,95.0,1319.8699999999972,41.62462572072897,75.2300956125458,0.7754743289761681,73.32611111111095,1.867445843272992,36.0,-1.8393305547734902,0.06586658154829127
2022,strict_developer,16739,1506196,89.98124141227075,17.0,99.0,1653.0,40.25047205011831,77.49774929690425,0.7930165684256851,97.23529411764706,1.8149464899774044,39.0,-2.392127966526556,0.016751000849646376
2023,strict_developer,17399,1565713,89.98867751020174,17.0,99.0,1573.0400000000009,40.60699502399226,77.56664216238863,0.7934040271366486,92.53176470588241,1.814672759905266,40.0,-2.430096920463644,0.015094785712606388
2024,strict_developer,18763,3705588,197.49443052816713,18.0,229.0,4810.420000000009,34.700214918657984,86.19787197065621,0.868312678250181,267.24555555555605,1.6441855877151565,28.0,-3.3368398678287434,0.0008473675455626217
2019,very_strict,3110,427459,137.44662379421223,40.0,242.0,1910.4899999999943,23.37510732023422,63.58761892953476,0.6923097214513321,47.76224999999986,1.9306724650594147,20.0,-1.5523217418567024,0.12058525816694886
2020,very_strict,4101,618183,150.73957571324067,39.0,259.0,2356.0,27.96615241764979,67.19159213372092,0.722163472477975,60.41025641025641,1.9097822409466998,29.0,-1.4675265901873162,0.14223286132877783
2021,very_strict,4576,791175,172.8966346153846,37.0,268.0,2999.75,32.29690018011186,71.2540209182545,0.757523965748916,81.07432432432432,1.8681749817147022,33.0,-1.1069815068237723,0.26830192396878016
2022,very_strict,4690,970599,206.95074626865673,39.0,341.0,3437.2099999999964,29.339820049268546,73.55705085210266,0.7774994963818213,88.13358974358965,1.7996640312885632,33.0,-1.6195164842568288,0.10533618265005296
2023,very_strict,4716,954929,202.48706530958438,40.0,362.0,3611.150000000007,28.265661635577093,72.47659250059428,0.7710311615998173,90.27875000000017,1.8032837204243055,31.0,-1.964470272938372,0.049475580387551565
2024,very_strict,5413,2231769,412.29798632920745,48.0,927.8000000000002,6855.720000000002,19.825483730619073,76.37497429169416,0.818700222567071,142.82750000000004,1.6393303688534195,28.0,-2.7760735848028903,0.005501975445803758
