n,mean,variance,fano_factor,fano_ci_lower,fano_ci_upper,overdispersion_delta,cv_observed,cv_squared_excess,group,year,delta_trend_slope,delta_trend_p,delta_trend_r
162714,7.500165935322099,15305.543702688297,2040.694010596046,2026.7436480883166,2054.789573458642,2039.694010596046,16.495045162442185,271.95318452757,All Developers,2019,82481.87711903611,0.1479333362107789,0.6669245207882939
211562,7.161040262428981,5804.027071900109,810.5005500878749,805.6383829777194,815.4070707069052,809.5005500878749,10.638700901171928,113.04231234880635,All Developers,2020,82481.87711903611,0.1479333362107789,0.6669245207882939
252545,8.779377932645668,57605.61199078286,6561.468526896347,6525.427806729515,6597.810043941103,6560.468526896347,27.338120445894752,747.2589262277435,All Developers,2021,82481.87711903611,0.1479333362107789,0.6669245207882939
282296,9.005168333947346,126460.43794420519,14043.095393062156,13970.121139192452,14116.645575300961,14042.095393062156,39.48985192135182,1559.3373574291545,All Developers,2022,82481.87711903611,0.1479333362107789,0.6669245207882939
310745,12.797126261082237,113320.74333352772,8855.171154960874,8811.304573179968,8899.367652163828,8854.171154960874,26.305239027016018,691.8874577245975,All Developers,2023,82481.87711903611,0.1479333362107789,0.6669245207882939
342717,42.31585243801737,24250821.75325227,573090.7061076919,570386.9224677181,575813.8493763007,573089.7061076919,116.37511837450967,13543.144544875506,All Developers,2024,82481.87711903611,0.1479333362107789,0.6669245207882939
9190,18.672252448313383,8772.39382134882,469.8090841279948,456.51492316252694,483.6953416716027,468.8090841279948,5.016055692781612,25.107259310343196,Org Developers,2019,4736.405800307598,0.04209582826053992,0.8274409441230506
12915,17.44614789005033,10467.157913571129,599.9695737728229,585.60038854074,614.8767424386373,598.9695737728229,5.864281893331509,34.33248288090115,Org Developers,2020,4736.405800307598,0.04209582826053992,0.8274409441230506
16415,21.151142247943955,125507.73949165852,5933.851610489679,5807.536958207381,6064.352291754956,5932.851610489679,16.74948382578885,280.49792965986956,Org Developers,2021,4736.405800307598,0.04209582826053992,0.8274409441230506
18435,18.17754271765663,14986.98773476647,824.4782018973864,807.9018729755453,841.5724133875246,823.4782018973864,6.734758111401804,45.301953882771315,Org Developers,2022,4736.405800307598,0.04209582826053992,0.8274409441230506
20092,30.685695799323113,372357.8911039258,12134.575456233897,11900.734157342018,12375.410168216593,12133.575456233897,19.885856704301645,395.4147083900098,Org Developers,2023,4736.405800307598,0.04209582826053992,0.8274409441230506
20979,130.36550836550836,3614482.9065345535,27725.760838522994,27202.721708195084,28264.10319268851,27724.760838522994,14.583453630238,212.66944904468545,Org Developers,2024,4736.405800307598,0.04209582826053992,0.8274409441230506
153524,6.831400953596832,15688.761214816559,2296.5657149074523,2280.4055864655256,2312.899031400537,2295.5657149074523,18.335153513618717,336.03147150933995,Personal Developers,2019,100549.87941592997,0.1497242095519104,0.6647796618950284
198647,6.492355786898368,5493.580933632002,846.1614110425213,840.9236607513113,851.448476903233,845.1614110425213,11.416302083945123,130.17792597689493,Personal Developers,2020,100549.87941592997,0.1497242095519104,0.6647796618950284
236130,7.919332571041376,52874.40547093672,6676.623944836281,6638.702777746416,6714.8724656293725,6675.623944836281,29.035824790153132,842.952847976992,Personal Developers,2021,100549.87941592997,0.1497242095519104,0.6647796618950284
263861,8.364328187947441,134242.47651937627,16049.403311650618,15963.150738325992,16136.360082430236,16048.403311650618,43.80401439491659,1918.6721217820611,Personal Developers,2022,100549.87941592997,0.1497242095519104,0.6647796618950284
290653,11.560541263981449,95391.82516526859,8251.501637079547,8209.241646627865,8294.090303808802,8250.501637079547,26.716367632893757,713.6777983557906,Personal Developers,2023,100549.87941592997,0.1497242095519104,0.6647796618950284
321738,36.57455445113726,25595895.88860517,699827.9616174322,696420.6883873105,703260.4173309206,699826.9616174322,138.32673405916648,19134.25801406233,Personal Developers,2024,100549.87941592997,0.1497242095519104,0.6647796618950284
