group,period,n_matched,rank_correlation_rho,rank_corr_p_value,top10_persistence,bottom50_to_top10_rate,interpretation
All Developers,2019-2024,2643,0.17890568603395604,1.895278765461602e-20,0.2641509433962264,0.07811348563006633,High mobility (pure preferential attachment)
All Developers,2019-2020,6051,0.2636780324038282,8.607635823471212e-97,,,
All Developers,2020-2021,8240,0.27933485030225447,1.4780469021328077e-147,,,
All Developers,2021-2022,9488,0.27849764723988957,1.4704889206562005e-168,,,
All Developers,2022-2023,10021,0.31691003051497685,1.3601464241186311e-232,,,
All Developers,2023-2024,11039,0.3096865615846138,5.6821365771060856e-244,,,
Org Developers,2019-2024,923,0.17031917256032755,1.9345469834449735e-07,0.1827956989247312,0.08478260869565217,High mobility (pure preferential attachment)
Org Developers,2019-2020,1638,0.21928874349946312,2.7619603399439657e-19,,,
Org Developers,2020-2021,2250,0.23205585174442986,6.857226424062686e-29,,,
Org Developers,2021-2022,2617,0.26805718711742804,2.634663541069225e-44,,,
Org Developers,2022-2023,2710,0.28419765562585786,1.61281805232333e-51,,,
Org Developers,2023-2024,2857,0.26458566619097984,5.691529814739503e-47,,,
Personal Developers,2019-2024,1720,0.17505348593094167,2.6473311242037105e-13,0.27325581395348836,0.07544910179640718,High mobility (pure preferential attachment)
Personal Developers,2019-2020,4413,0.2767651683623581,2.0174198845186792e-78,,,
Personal Developers,2020-2021,5990,0.2909091424142081,3.7311713203733586e-117,,,
Personal Developers,2021-2022,6871,0.27916744400161325,3.2451776112517444e-123,,,
Personal Developers,2022-2023,7311,0.32561930540669254,3.7167231160454806e-180,,,
Personal Developers,2023-2024,8182,0.3220436871567122,8.861706494876774e-197,,,
