group,year,tau,tau_se,r_squared,p_value,interpretation
All Developers,2020,1.7480647771367408,0.2669931217519043,0.8955421380585276,0.0012449810913703224,Lognormal/multiplicative (τ≈2)
All Developers,2021,3.0904102843665693,0.22448645268236234,0.9742955268506871,3.630192177746163e-05,Heavy-tailed/power law (τ>2)
All Developers,2022,1.6556519852579212,0.557977342285152,0.6377994187371457,0.031256528398778106,Lognormal/multiplicative (τ≈2)
All Developers,2023,2.689189873692489,0.3201413261279744,0.933827547573189,0.00039185142105290047,Heavy-tailed/power law (τ>2)
All Developers,2024,2.1804046121661194,0.1581465728424101,0.9743705354714248,3.603668220242073e-05,Lognormal/multiplicative (τ≈2)
Org Developers,2020,2.2863359274766015,0.41414488403975724,0.8355138220911943,0.0014860681235118185,Lognormal/multiplicative (τ≈2)
Org Developers,2021,2.6244949597396645,0.3370130173883089,0.909971331566212,0.00023617248206054425,Heavy-tailed/power law (τ>2)
Org Developers,2022,2.041850756048148,0.5146209886462491,0.7240424508329981,0.007386548433322005,Lognormal/multiplicative (τ≈2)
Org Developers,2023,2.6140855513200463,0.2022747037505457,0.9653210005366281,1.320626437558237e-05,Heavy-tailed/power law (τ>2)
Org Developers,2024,2.141814996154963,0.234135082876752,0.9330967803760332,9.602843380607373e-05,Lognormal/multiplicative (τ≈2)
Personal Developers,2020,1.8321948525264626,0.2484813395922609,0.9157817467813874,0.0007209832395225563,Lognormal/multiplicative (τ≈2)
Personal Developers,2021,2.890251161737056,0.15456292028031188,0.9859024574567604,8.052608147275202e-06,Heavy-tailed/power law (τ>2)
Personal Developers,2022,1.655774080512802,0.1983624619133085,0.9330440794191794,0.0004036726078207065,Lognormal/multiplicative (τ≈2)
Personal Developers,2023,2.661797416433988,0.27953928182465765,0.9477370916299883,0.00021609555523822223,Heavy-tailed/power law (τ>2)
Personal Developers,2024,2.121356184072149,0.17792708357921808,0.9660207800528049,7.315712756719568e-05,Lognormal/multiplicative (τ≈2)
