group,year,n,poisson_lambda,poisson_loglik,negbin_r,negbin_p,negbin_loglik,negbin_mean,negbin_var,lr_statistic,lr_p_value,cv_underlying_rate,better_fit
All Developers,2019,162714,7.500165935322099,-3236822.824712679,0.48868574045251484,0.06117097782482417,-471908.60244764853,7.500163838705239,122.60984057151285,5529828.4445300605,0.0,1.4304911213756875,NegBin (heterogeneity)
All Developers,2020,211562,7.161040262428981,-3781013.8349151113,0.5088387893546663,0.06634296633616082,-609448.7404522611,7.160983913121018,107.93885634893385,6343130.1889257,0.0,1.4018769488446885,NegBin (heterogeneity)
All Developers,2021,252545,8.779377932645668,-6723867.963436735,0.4487762038811504,0.048631220998141614,-754667.7525918703,8.77937383369039,180.52957860190028,11938400.42168973,0.0,1.4927431594474563,NegBin (heterogeneity)
All Developers,2022,282296,9.005168333947346,-8254748.808845248,0.4351826645407877,0.04609814280591434,-843655.8460216206,9.005168682649586,195.34775447600538,14822185.925647255,0.0,1.5158778479985648,NegBin (heterogeneity)
All Developers,2023,310745,12.797126261082237,-15656310.831231307,0.35591250144341313,0.02706075859186182,-969351.5428907897,12.796435029214846,472.87791233846684,29373918.576681037,0.0,1.676209812031292,NegBin (heterogeneity)
All Developers,2024,342717,42.31585243801737,-84658945.11043471,0.23137889344932483,0.005438169267610691,-1193687.720483843,42.31582441399448,7781.262835275136,166930514.77990174,0.0,2.078921688701486,NegBin (heterogeneity)
Org Developers,2019,9190,18.672252448313383,-369372.27846760163,0.4109684970673997,0.021535572585905428,-33257.27041854795,18.672271357737753,867.0431809163205,672230.0160981073,0.0,1.5598963214554098,NegBin (heterogeneity)
Org Developers,2020,12915,17.44614789005033,-506637.14976804797,0.42245772576310003,0.02364221525114466,-46218.71225194918,17.44633000311296,737.9312732662933,920836.8750321976,0.0,1.5385385114420593,NegBin (heterogeneity)
Org Developers,2021,16415,21.151142247943955,-986805.6610813468,0.38352703267038574,0.017809729705551208,-60194.42581905294,21.151164341721568,1187.618492330563,1853222.4705245877,0.0,1.6147377920808215,NegBin (heterogeneity)
Org Developers,2022,18435,18.17754271765663,-811818.3180268626,0.40352274593766607,0.02171670769925838,-65915.04124048195,18.17768908072639,837.0370560979255,1491806.5535727614,0.0,1.5742220451061728,NegBin (heterogeneity)
Org Developers,2023,20092,30.685695799323113,-2349897.454357811,0.3144121775311602,0.010142284460436041,-75615.12563295156,30.68572184135267,3025.523683648823,4548564.657449719,0.0,1.783406399862244,NegBin (heterogeneity)
Org Developers,2024,20979,130.36550836550836,-11542273.821365852,0.2057815781710953,0.001576005364520486,-88242.15306936878,130.3658413386749,82719.16090738682,22908063.336592965,0.0,2.2044322360529685,NegBin (heterogeneity)
Personal Developers,2019,153524,6.831400953596832,-2808885.2771146493,0.5091678287797712,0.06936424904971593,-435706.9311221924,6.831325808148839,98.48482325891791,4746356.691984914,0.0,1.4014239083093456,NegBin (heterogeneity)
Personal Developers,2020,198647,6.492355786898368,-3200167.8618662097,0.5327589267320084,0.07583628683884924,-559107.9297946254,6.492359904100409,85.610202908491,5282119.864143169,0.0,1.3700443698908389,NegBin (heterogeneity)
Personal Developers,2021,236130,7.919332571041376,-5624570.503698944,0.46744840427135176,0.05573638612076302,-689929.2069334448,7.919324345195033,142.08535745457868,9869282.593530998,0.0,1.4626255619589752,NegBin (heterogeneity)
Personal Developers,2022,263861,8.364328187947441,-7370486.1545527475,0.44457986136364314,0.050469482299859404,-774933.0364654827,8.36430505491539,165.7299554851723,13191106.23617453,0.0,1.4997715361551824,NegBin (heterogeneity)
Personal Developers,2023,290653,11.560541263981449,-13108668.814154834,0.36680661176475043,0.030753404455589255,-889360.8845515198,11.560543164890152,375.9110046364018,24438615.859206628,0.0,1.6511305855238947,NegBin (heterogeneity)
Personal Developers,2024,321738,36.57455445113726,-71755169.32550648,0.2383789205310795,0.006475405382562431,-1099840.871112749,36.57459361907367,5648.232266286387,141310656.90878746,0.0,2.048170353515991,NegBin (heterogeneity)
