year,group,n_accounts,total_commits,mean_commits,median_commits,top_1pct_share,gini,alpha,xmin
2019,org_developers,9824,261229,26.590899837133552,6.0,48.128270597827964,0.7743675822240556,2.036574749219275,6.0
2019,personal_only,53945,1019117,18.89177866345352,5.0,44.174908278441045,0.7285542469793574,1.9909989438587796,25.0
2020,org_developers,14502,358103,24.693352641015032,6.0,44.606160797312505,0.7571344733984444,2.0628882250478746,7.0
2020,personal_only,73483,1420637,19.33286610508553,6.0,47.90491870900166,0.7358851515244449,1.9459125952896605,33.0
2021,org_developers,18253,484063,26.519640607023504,6.0,49.81004538665422,0.7737596852143567,2.0753220275187356,7.0
2021,personal_only,83614,1874058,22.41320831439711,6.0,53.06089779505223,0.7696965690479697,1.8596037302761945,39.0
2022,org_developers,20764,563512,27.138894240030822,6.0,50.4510995329292,0.7818447918866551,1.9113842626396056,37.0
2022,personal_only,92200,2131103,23.11391540130152,5.0,54.843008526570515,0.7784331564401881,1.8261076442026896,40.0
2023,org_developers,23411,693943,29.64174960488659,6.0,53.57370850343616,0.8034679453942726,2.055321149676674,6.0
2023,personal_only,99585,2300008,23.09592810162173,5.0,55.430894153411636,0.7825845237586488,1.816573830513791,38.0
2024,org_developers,25490,701610,27.52491173009023,6.0,50.826385028719656,0.7915750771488201,2.0365934722731582,5.0
2024,personal_only,102204,2663477,26.060398810222694,5.0,59.13514552594222,0.8052231283615408,1.7788952163346972,45.0
