n_developers,total_commits,median_commits,mean_commits,max_commits,p90_commits,p99_commits,top_1pct_share,gini,min_commits_threshold,year,pct_excluded
162714,1220382,2.0,7.500165935322099,33236,7.0,87.0,0.5222577848575282,0.7875246787181911,1,2019,0.0
86330,1143998,3.0,13.25145372408201,33236,13.0,180.0,0.4747377180729337,0.7654048268475151,2,2019,0.4694371719704512
54067,1079472,5.0,19.96545027465922,33236,22.0,298.3399999999965,0.43528873375131544,0.7582461130683928,3,2019,0.667717590373293
28842,994343,8.0,34.47552180847375,33236,45.0,550.5900000000001,0.37139498140983546,0.7489153282132139,5,2019,0.8227442014823556
12503,890223,19.0,71.20075181956331,33236,119.0,1000.0,0.2639653210487709,0.7222580603546043,10,2019,0.9231596543628698
5962,804172,43.0,134.88292519288828,33236,264.90000000000055,1038.3900000000003,0.20969270255616956,0.6729873956394892,20,2019,0.9633590225794953
211562,1515004,2.0,7.161040262428981,23002,8.0,78.0,0.5125484817201803,0.7758745614997149,1,2020,0.0
113885,1417327,3.0,12.445247398691663,23002,13.0,161.0,0.4716025306792293,0.7518938018317625,2,2020,0.46169444418184735
71771,1333099,5.0,18.574340611110337,23002,20.0,275.3000000000029,0.4351124710167812,0.7448734965792354,3,2020,0.6607566576228245
38301,1220258,8.0,31.859690347510508,23002,39.0,577.0,0.3654120685953298,0.7378772811877388,5,2020,0.818960871990244
16113,1078682,18.0,66.94482715819525,23002,107.0,1001.0,0.23929851429800442,0.7176614254608573,10,2020,0.9238379293067753
7385,963946,40.0,130.5275558564658,23002,266.0,1082.9599999999991,0.17524840603104322,0.6730480413123487,20,2020,0.9650929751089515
252545,2217188,2.0,8.779377932645668,100998,8.0,91.0,0.5744420409996807,0.8122982294334888,1,2021,0.0
137498,2102141,3.0,15.288520560299059,100998,14.0,193.0,0.5343209613436968,0.7916261899419899,2,2021,0.45555049595121666
87726,2002597,5.0,22.827861751362196,100998,22.0,334.75,0.49839083949491586,0.7847862923053712,3,2021,0.6526322041616346
48200,1869186,8.0,38.77979253112033,100998,42.0,725.010000000002,0.43193614760649823,0.7775569532867821,5,2021,0.8091429250232631
20889,1693612,18.0,81.0767389535162,100998,115.0,1002.0,0.3240919407751008,0.7605691343035492,10,2021,0.9172860282325922
9689,1546388,41.0,159.60243575188358,100998,295.2000000000007,1254.0,0.2783919688978445,0.722195183701851,20,2021,0.9616345601773941
282296,2542123,2.0,9.005168333947346,160487,8.0,90.0,0.5977519577140838,0.8207252763139434,1,2022,0.0
150840,2410667,3.0,15.981616282153276,160487,14.0,206.0,0.5565874506931069,0.8027781399200844,2,2022,0.46566724289398365
95166,2299319,5.0,24.161139482588318,160487,21.0,383.0,0.516222411940231,0.7974447760422667,3,2022,0.6628857652960014
51940,2153602,8.0,41.46326530612245,160487,42.0,782.6100000000006,0.4424378320599628,0.7914971322679829,5,2022,0.8160087284268994
22400,1964906,18.0,87.71901785714286,160487,123.0,1004.0,0.3402580072532732,0.7742126842563608,10,2022,0.9206506645506844
10453,1808133,41.0,172.97742274944991,160487,336.0,1402.3999999999978,0.29641846036768316,0.7351865649577065,20,2022,0.962971490917335
310745,3976643,2.0,12.797126261082237,87598,8.0,105.0,0.7148783534252383,0.8747309459128199,1,2023,0.0
163935,3829833,3.0,23.361899533351632,87598,14.0,268.0,0.6790609407773133,0.8644408631563036,2,2023,0.47244525253825487
102658,3707279,5.0,36.11290888191861,87598,22.0,535.429999999993,0.6391674325023825,0.862216476754841,3,2023,0.6696390931471141
55525,3548555,8.0,63.90914002701486,87598,46.0,1000.0,0.5659712192709426,0.8586692585945581,5,2023,0.8213165135400409
24154,3347975,19.0,138.60954707294857,87598,152.0,1683.4000000000233,0.48806905666858325,0.8443047024127361,10,2023,0.9222706720944827
11510,3181605,44.0,276.4209383145091,87598,448.0,3460.0999999999985,0.41904699043407334,0.8114840882448842,20,2023,0.962959983266022
342717,14502362,2.0,42.31585243801737,2840080,8.0,192.0,0.8980154405192754,0.9595912483251519,1,2024,0.0
182172,14341817,3.0,78.72679116439409,2840080,15.0,644.2900000000081,0.8682312011093155,0.9553823554479006,2,2024,0.4684477280088236
115476,14208425,5.0,123.04223388409713,2840080,26.0,1570.25,0.8289387458497335,0.9531503929887828,3,2024,0.6630572746610177
63635,14033705,9.0,220.53437573662293,2840080,64.0,4391.6199999999735,0.7450733074409075,0.9482662428825777,5,2024,0.8143220207926657
29163,13813515,20.0,473.66577512601583,2840080,270.0,10000.0,0.5678126096073303,0.9338602273604357,10,2024,0.9149064680188027
14784,13624832,51.0,921.5930735930735,2840080,987.0,10032.68,0.46992337226616815,0.9073333131212409,20,2024,0.9568623674927127
