group,transition,year_from,year_to,n_common,top1_stay_top1,top1_stay_top10
Org Developers,2019→2020,2019,2020,1839,0.3684210526315789,0.5789473684210527
Org Developers,2020→2021,2020,2021,2564,0.23076923076923078,0.6153846153846154
Org Developers,2021→2022,2021,2022,3037,0.2903225806451613,0.5161290322580645
Org Developers,2022→2023,2022,2023,3377,0.47058823529411764,0.6764705882352942
Org Developers,2023→2024,2023,2024,3719,0.3157894736842105,0.6842105263157894
Org Developers,2024→2025,2024,2025,2920,0.3333333333333333,0.5666666666666667
Personal Developers,2019→2020,2019,2020,8673,0.27586206896551724,0.5747126436781609
Personal Developers,2020→2021,2020,2021,11162,0.2857142857142857,0.7142857142857142
Personal Developers,2021→2022,2021,2022,11902,0.25,0.525
Personal Developers,2022→2023,2022,2023,12744,0.2734375,0.609375
Personal Developers,2023→2024,2023,2024,13527,0.2867647058823529,0.6470588235294117
Personal Developers,2024→2025,2024,2025,10195,0.35294117647058826,0.6176470588235294
